Project,Client,Description,Task,User,Group,Email,Tags,Billable,Start Date,Start Time,End Date,End Time,Duration (h),Duration (decimal),Billable Rate (USD),Billable Amount (USD)
twzcmnmrqd,vmxzlmaido,,,dslda,,dslda@demo.com,,No,11/23/2023,04:25:09 PM,11/23/2023,09:32:09 PM,5:07:00,5.12,78.5,0.0
jcovwosbyf,dfvpwklqez,yemvvjoqfarjmqgneevd,,uwrbo,,uwrbo@sample.com,,Yes,04/15/2023,12:55:50 AM,04/15/2023,04:32:50 AM,3:37:00,3.62,168.62,610.4
gxebadphhv,bgambxcmzd,dtytpqxphfamtvvuhfjt,,itelb,,itelb@example.com,,No,03/07/2023,03:42:57 PM,03/07/2023,04:12:57 PM,0:30:00,0.5,190.57,95.28
kbdaljmkvn,srhwoozard,hhmaihkidqyxorahseha,,gkoav,,gkoav@demo.com,,Yes,11/05/2023,11:51:02 AM,11/05/2023,03:19:02 PM,3:28:00,3.47,175.94,610.51
nwtkbhejnd,fudtkhfuwo,zdukiyosdcpeoxtdbnbv,,lsmgc,,lsmgc@demo.com,,No,11/08/2023,03:17:21 AM,11/08/2023,08:32:21 AM,5:15:00,5.25,99.89,0.0
optqghjbvf,qaamkoozbu,iszktuaxmiaixzuglnvo,,ueyby,,ueyby@sample.com,,Yes,03/05/2023,01:58:03 AM,03/05/2023,05:59:03 AM,4:01:00,4.02,187.85,0.0
nmlqiohdaa,ymexxzsnuh,,,ahznx,,ahznx@demo.com,,No,12/31/2023,08:21:07 PM,01/01/2024,01:08:07 AM,4:47:00,4.78,126.77,0.0
hmwdajigvt,srgjncvwpd,umwuvahhxyrmpshfhlxs,,lxwno,,lxwno@sample.com,,No,10/28/2023,09:52:39 AM,10/28/2023,01:21:39 PM,3:29:00,3.48,18.91,0.0
bsckbwocki,zpbsklcriv,,,slkwd,,slkwd@example.com,,No,08/30/2023,10:31:37 AM,08/30/2023,11:16:37 AM,0:45:00,0.75,30.55,22.91
lvmoqvhqfo,cwuqbyvwdn,czlgpgbevrikxltfdzyr,,dssig,,dssig@demo.com,,Yes,12/06/2023,08:41:40 PM,12/07/2023,01:50:40 AM,5:09:00,5.15,72.2,0.0
xqxkezzkzs,mvwrucdlzg,,,cakwy,,cakwy@demo.com,,Yes,01/12/2023,04:44:10 PM,01/12/2023,11:05:10 PM,6:21:00,6.35,36.5,231.77
pbnitshlmx,qkphbaawqe,,,sasxd,,sasxd@example.com,,No,09/23/2023,09:54:33 AM,09/23/2023,02:38:33 PM,4:44:00,4.73,79.0,373.67
lmbbxtubra,greownxumd,,,rszyf,,rszyf@demo.com,,No,01/31/2023,12:41:43 AM,01/31/2023,12:59:43 AM,0:18:00,0.3,56.13,16.84
ozucqungas,wyubvxlkyi,,,iukvo,,iukvo@example.com,,Yes,10/05/2023,03:04:20 AM,10/05/2023,08:28:20 AM,5:24:00,5.4,37.55,202.77
sohmkrhzkx,imtgbvsnyp,,,yxqgh,,yxqgh@demo.com,,No,11/30/2023,12:01:20 AM,11/30/2023,01:57:20 AM,1:56:00,1.93,110.08,0.0
lbzwvgluox,codgeqcjww,,,rdjci,,rdjci@example.com,,Yes,08/01/2023,06:07:18 AM,08/01/2023,10:55:18 AM,4:48:00,4.8,32.71,157.01
fglewdzzdw,usyuveutqf,nyfhhupvwhlufkjgzwke,,tcjxt,,tcjxt@sample.com,,No,08/29/2023,12:45:57 AM,08/29/2023,02:57:57 AM,2:12:00,2.2,160.48,353.06
kbayfniwmf,fjbhhoicjc,ngefbhkpmhqqmyuzbsem,,ostbo,,ostbo@example.com,,No,04/08/2023,02:25:54 PM,04/08/2023,09:59:54 PM,7:34:00,7.57,92.53,0.0
gnovzdeqjd,xvlxjxrhew,orydccimbvfbfpncsfpd,,abuen,,abuen@example.com,,No,02/28/2023,09:46:02 PM,03/01/2023,12:29:02 AM,2:43:00,2.72,67.21,0.0
